...1,CDSeq_estimated_cell_type_1,CDSeq_estimated_cell_type_2,CDSeq_estimated_cell_type_3,CDSeq_estimated_cell_type_4,CDSeq_estimated_cell_type_5,CDSeq_estimated_cell_type_6,SYMBOL,ENTREZID
ABO,8.40219501748343e-5,5.8943929999564e-4,3.7428345161172e-4,1.70484263961468e-7,1.69548424725586e-7,7.411148638748e-4,ABO,28
ABR,4.82044225692211e-5,1.0747112855179e-4,9.05779505710929e-5,4.99518893407101e-5,1.2258351107659e-4,2.35819681739589e-5,ABR,29
ABRA,1.49239698356722e-7,2.52644605998794e-6,4.74348369574302e-6,9.37663451788073e-6,5.08645274176758e-7,5.72377868299974e-6,ABRA,137735
ABRACL,1.32823331537482e-5,4.4698661061325e-6,6.77640527963288e-7,8.69469746203486e-6,1.52593582253027e-6,8.92909474547959e-6,ABRACL,58527
ABRAXAS1,1.80580035011633e-5,6.00516794258671e-5,1.69410131990822e-5,3.39263685283321e-5,2.96709743269775e-5,2.54135773525188e-5,ABRAXAS1,84142
ABRAXAS2,2.85047823861338e-5,2.91513006921685e-6,6.09876475166959e-6,2.64250609140275e-5,8.47742123627929e-7,5.26587638835976e-6,ABRAXAS2,23172
ABT1,3.4325130622046e-6,5.8302601384337e-7,4.29172334376749e-6,3.23920101526789e-6,8.47742123627929e-7,9.84489933475955e-6,ABT1,29777
ABTB1,1.04467788849705e-6,4.64477391028551e-5,9.7128475674738e-6,1.2939755634675e-4,1.00033570588096e-5,3.22821117721185e-5,ABTB1,80325
ABTB2,1.3431572852105e-6,2.97343267060119e-5,2.59762202385927e-5,1.79008477159541e-5,4.23871061813965e-6,4.3729669138118e-5,ABTB2,25841
ABTB3,1.32823331537482e-5,2.91513006921685e-6,2.93644228784092e-6,6.98985482242018e-6,4.23871061813965e-6,2.28951147319989e-7,ABTB3,121551
ACAA1,4.73089843790808e-5,3.94514269367347e-5,9.37402730349215e-5,9.90513573616128e-5,1.50898098005771e-5,7.48670251736365e-5,ACAA1,30
ACAA2,7.31274521947936e-6,8.99803481364934e-5,4.54019153735403e-5,1.19338984773027e-6,7.47708553039834e-5,5.01403012630777e-5,ACAA2,10449
ACACA,2.53707487206427e-6,4.85855011536141e-6,5.39853620610753e-5,1.287156192909e-4,1.81416814456377e-5,1.44239222811593e-5,ACACA,31
ACACB,2.7982443441885e-4,5.92743114074092e-5,0.00177609582379178,1.85827847718e-5,7.9704714463497e-4,0.00118711169885415,ACACB,32
ACAD10,1.49239698356722e-7,8.76482440811199e-5,3.59149479820543e-5,2.21629543149908e-6,1.74634877467353e-5,5.56351287987574e-5,ACAD10,80724
ACAD11,4.10409170480985e-5,4.4698661061325e-6,6.77640527963288e-7,8.60945533005413e-5,1.69548424725586e-7,2.28951147319989e-7,ACAD11,84129
ACAD8,5.82034823591215e-6,1.94342004614457e-7,2.25880175987763e-7,8.35372893411192e-6,1.52593582253027e-6,2.51846262051988e-6,ACAD8,27034
ACAD9,4.02947185563149e-6,1.94342004614457e-7,2.48468193586539e-6,2.02876274114147e-5,3.89961376868848e-6,9.38699704011957e-6,ACAD9,28976
ACADL,7.46198491783608e-7,9.91144223533728e-6,6.55052510364512e-6,1.70484263961468e-7,2.20412952143262e-6,2.28951147319989e-7,ACADL,33
ACADM,6.41730702933903e-6,9.52275822610837e-6,2.25880175987763e-7,1.53435837565321e-6,1.52593582253027e-6,6.86853441959968e-7,ACADM,34
ACADS,1.64163668192394e-6,4.17835309921082e-5,2.86867823504459e-5,2.64250609140275e-5,5.59509801594433e-6,2.63293819417988e-5,ACADS,35
ACADSB,1.4476250740602e-5,1.94342004614457e-7,1.12940087993881e-6,5.11452791884403e-7,8.47742123627929e-7,4.3500717990798e-6,ACADSB,36
ACADVL,1.04467788849705e-6,2.52644605998794e-6,2.55244598866172e-5,8.52421319807339e-7,1.81416814456377e-5,2.58714796471588e-5,ACADVL,37
ACAN,3.13403366549116e-6,1.7238135809302e-4,3.09455841103235e-5,1.10814771574954e-5,1.98371656928935e-5,1.35081176918794e-5,ACAN,176
ACAP1,1.04467788849705e-6,1.0980323260716e-4,2.68797409425438e-5,8.98452071076935e-5,2.18717467896006e-5,1.39660199865194e-5,ACAP1,9744
ACAP2,7.68584446537117e-5,9.91144223533728e-6,7.92839417717047e-5,1.3621692690521e-4,1.4801577478543e-4,6.06720540397972e-5,ACAP2,23527
ACAP3,8.20818340961969e-6,3.51759028352166e-5,2.48468193586539e-6,1.27863197971101e-5,7.29058226320019e-6,2.72451865310787e-5,ACAP3,116983
ACAT1,2.2535194451865e-5,1.37982823276264e-5,5.85029655808305e-5,5.11452791884403e-7,4.8321301046792e-5,1.60265803123993e-6,ACAT1,38
ACAT2,1.49239698356722e-7,9.71710023072283e-7,1.28751700313025e-5,3.32444314724862e-5,8.64696966100488e-6,6.86853441959968e-7,ACAT2,39
ACBD3,3.77576436842506e-5,5.8302601384337e-7,2.25880175987763e-7,5.11452791884403e-7,7.51099521534345e-5,9.40989215485157e-5,ACBD3,64746
ACBD4,4.47719095070165e-7,1.49643343553132e-5,5.64700439969407e-6,1.79008477159541e-5,5.08645274176758e-7,1.60265803123993e-6,ACBD4,79777
ACBD5,6.58147069753143e-5,7.57933817996381e-6,2.64279805905682e-5,1.58550365484165e-5,2.54322637088379e-6,5.72377868299974e-6,ACBD5,91452
ACBD6,2.53707487206427e-6,3.09003787336986e-5,4.29172334376749e-6,8.52421319807339e-7,8.64696966100488e-6,6.89142953433168e-5,ACBD6,84320
ACCS,1.7162565311023e-5,1.65190703922288e-5,6.09876475166959e-6,2.71069979698734e-5,3.22142006978613e-6,1.48818245757993e-5,ACCS,84680
ACD,4.47719095070165e-7,2.13776205075902e-6,6.77640527963288e-7,1.07405086295725e-5,1.69548424725586e-7,2.28951147319989e-7,ACD,65057
ACE,3.4325130622046e-6,1.45756503460842e-5,6.77640527963288e-7,1.27863197971101e-5,4.23871061813965e-6,1.14475573659995e-6,ACE,1636
ACE2,1.49239698356722e-7,1.74907804153011e-6,4.74348369574302e-6,5.96694923865137e-6,1.1868389730791e-6,6.86853441959968e-7,ACE2,59272
ACER1,2.23859547535083e-6,6.80197016150598e-6,2.25880175987763e-7,6.98985482242018e-6,8.47742123627929e-7,6.18168097763972e-6,ACER1,125981
ACER2,7.46198491783608e-7,2.91513006921685e-6,1.15198889753759e-5,2.21629543149908e-6,5.08645274176758e-7,2.06056032587991e-6,ACER2,340485
ACER3,8.16341150011268e-5,1.5916610177924e-4,1.3033286154493e-4,1.375808010169e-4,1.4869396848433e-4,2.28951147319989e-7,ACER3,55331
ACHE,1.7162565311023e-5,3.51759028352166e-5,4.13360722057606e-5,1.07405086295725e-5,1.69548424725586e-7,4.96823989684377e-5,ACHE,43
ACIN1,1.56701683274558e-5,1.45756503460842e-5,4.74348369574302e-6,1.24453512691872e-5,3.22142006978613e-6,2.44977727632389e-5,ACIN1,22985
ACKR1,4.92491004577182e-6,4.08118209690359e-6,2.25880175987763e-7,7.67179187826605e-6,5.08645274176758e-7,3.13663071828386e-5,ACKR1,2532
ACKR2,1.08944979800407e-5,1.88511744476023e-5,4.90159981893445e-5,5.96694923865137e-6,8.47742123627929e-7,9.84489933475955e-6,ACKR2,1238
ACKR3,7.46198491783608e-7,1.22435462907108e-5,4.29172334376749e-6,1.70484263961468e-7,2.49236184346611e-5,2.0834554406119e-5,ACKR3,57007
ACKR4,4.47719095070165e-7,1.94342004614457e-7,5.19524404771854e-6,2.71069979698734e-5,3.89961376868848e-6,1.03028016293995e-5,ACKR4,51554
ACLY,2.0042891489307e-4,1.4012058532702e-4,3.9980791149834e-5,2.9954085178029e-4,1.3886015985025e-4,1.6415797262843e-4,ACLY,47
ACMSD,7.46198491783608e-7,5.8302601384337e-7,6.77640527963288e-7,4.60307512695963e-6,1.69548424725586e-7,1.14475573659995e-6,ACMSD,130013
ACO1,1.62671271208827e-5,5.8302601384337e-7,9.26108721549827e-6,1.53435837565321e-6,1.69548424725586e-7,1.62555314597192e-5,ACO1,48
ACO2,3.73099245891804e-6,1.96285424660601e-5,1.01646079194493e-5,1.51730994925706e-5,1.1868389730791e-6,2.44977727632389e-5,ACO2,50
ACOD1,1.49239698356722e-7,1.94342004614457e-7,7.00228545562064e-6,5.62598071072844e-6,1.69548424725586e-7,1.14475573659995e-6,ACOD1,730249
ACOT11,3.73099245891804e-6,1.0125218440413e-4,5.98582466367571e-5,9.63236091382293e-5,1.1868389730791e-6,4.69349852005978e-5,ACOT11,26027
ACOT12,2.53707487206427e-6,1.3603940323012e-6,2.93644228784092e-6,1.70484263961468e-7,5.08645274176758e-7,1.14475573659995e-6,ACOT12,134526
